period,status,net_pct,trades,wr,trading_days,fail_reason
Sep-2023 (Emanuel original),passed,8.21,28,42.9,8,
Oct-2023,passed,13.45,19,52.6,9,
Nov-2023,passed,9.23,23,47.8,13,
Dec-2023,days_short,9.38,8,75.0,2,only 2 trading days (need 3)
Jan-2024,passed,8.19,18,55.6,7,
Feb-2024,days_short,16.46,11,63.6,2,only 2 trading days (need 3)
Mar-2024,passed,11.9,15,60.0,7,
Apr-2024,passed,18.76,12,66.7,5,
May-2024,passed,9.59,14,64.3,6,
Jun-2024,days_short,8.0,4,100.0,1,only 1 trading days (need 3)
Jul-2024,days_short,8.16,4,100.0,2,only 2 trading days (need 3)
Aug-2024,days_short,9.21,10,70.0,2,only 2 trading days (need 3)
Sep-2024,passed,33.15,12,66.7,5,
Oct-2024,passed,5.69,8,87.5,3,
Nov-2024,passed,20.21,11,63.6,5,
Dec-2024,passed,8.26,29,44.8,13,
Jan-2025,passed,9.79,15,66.7,7,
Feb-2025,days_short,8.0,4,100.0,2,only 2 trading days (need 3)
Mar-2025,passed,20.59,21,52.4,9,
Apr-2025,passed,8.22,22,54.5,9,
May-2025,days_short,8.38,6,83.3,2,only 2 trading days (need 3)
Jun-2025,passed,14.47,15,60.0,7,
Jul-2025,passed,9.76,32,56.2,14,
Aug-2025,passed,8.1,12,58.3,5,
